Date,Unconstrained_Groundtruth,ARIMA,SARIMA,SD-SVR,Tsformer
2630,66014.0,52403.25677102472,60290.43117255464,95312.90857479068,62291.93
2631,66848.0,53313.42263937904,58646.56241073436,87327.18747909053,55870.09
2632,38475.0,54087.22593684544,37981.854895768236,49813.79180596308,35559.492
2633,31727.0,45593.77096192303,32151.242507814623,36849.67377881205,30527.502
2634,58092.0,42451.80498177158,59768.24049118806,65668.14363896976,56821.145
2635,55462.0,51038.37220585189,61491.35448728018,70409.13899400788,60679.47
2636,52919.0,50582.83313298906,63811.385219971824,76971.59414167306,63789.42
2637,51026.0,50031.58473929273,59557.13130557105,79651.59234925777,64417.39
2638,81922.0,49571.4263945612,55992.03072099506,77255.38231888998,57513.98
2639,43010.0,57962.701857762404,37467.442790998124,45395.00663074854,36559.14
2640,25839.0,47726.1063498239,32289.04055699896,35152.2796057521,31090.756
2641,55774.0,40192.50404154068,58356.88209499286,61695.7390998872,58670.066
2642,53555.0,50615.25953652925,59834.91539103475,64199.10052389052,62596.96
2643,71349.0,50181.06765015013,62019.00911101372,65953.01749075347,65155.977
2644,52211.0,55282.649024067476,60532.22630507226,63232.57237871056,65841.91
2645,58760.0,50533.875994047994,57106.22392219028,59876.50423674662,58947.07
2646,46032.0,52604.46519946613,36403.236584978404,35998.60211337903,36850.242
2647,28572.0,48831.00530786713,31719.903316578842,28070.555715294224,30824.299
2648,53562.0,41666.82726894643,58299.123852368066,50033.093680490485,57969.555
2649,61620.0,50246.87780313933,59472.56838131701,51325.231588699855,62984.64
2650,91515.0,52758.599954332014,62913.872840454394,56440.40821744378,65824.33
2651,49150.0,60488.190413421034,63379.51836879652,56132.93037466236,66456.8
2652,29300.0,50357.84367758488,59014.974699250095,54076.39770943668,59088.57
2653,34501.0,42483.85903094503,34055.905914408104,35407.406763323204,37008.52
2654,40718.0,44017.87748041321,28725.01489368147,32219.189908671866,31335.209
2655,75709.0,45929.649006905194,56140.64309506429,59682.85411589339,58066.938
2656,64342.0,55921.97362263803,60451.257408376216,61362.160666438,61850.562
2657,78988.0,53802.12177893531,64246.92107834903,66582.21523883818,65527.88
2658,63576.0,58032.06594444485,63187.34081925371,64299.71726379439,68324.16
2659,56399.0,54855.85827341705,60787.87028401888,59350.239679265185,61304.94
2660,39992.0,53119.36744736737,38322.47184995147,36895.388461914765,38863.434
2661,36497.0,47602.52663314647,32528.47621609855,32121.691190682886,33153.496
2662,75227.0,45812.91362490862,61566.267742976575,60412.843843682225,60027.055
2663,54928.0,57418.395509161644,65347.706733417835,60846.54205004805,63422.49
2664,76263.0,52479.85914142709,67256.51847312711,65785.13785562577,64920.402
2665,47298.0,58550.64261728507,65369.05072900128,64183.69963022076,67443.06
2666,55272.0,50721.513193426115,60046.79201504155,59110.20535492947,62146.79
2667,43105.0,53192.23279918538,37852.23956785116,36594.89906658625,39502.652
2668,36481.0,49132.939793146004,32526.725456721153,31902.914887364175,34617.11
2669,68462.0,46234.36350973821,61543.66527456005,59053.42886144773,63385.543
2670,73216.0,56148.6775225391,64473.8855553974,59712.13494185704,64904.617
2671,52886.0,57941.79050085356,69151.57479595413,64642.15935178393,64657.367
2672,67500.0,52687.18452741298,63530.02688309707,62407.17624204936,65318.36
2673,42544.0,57066.13523167404,61551.94810311434,58173.47178135346,62440.625
2674,42969.0,49479.93766552027,37472.77056640693,35546.62167079108,40319.766
2675,41478.0,49283.05960096354,32162.827166802257,31394.893841233617,33616.723
2676,60816.0,48399.79528665447,61998.22369562168,58086.10736001218,62944.348
2677,52079.0,54437.142939969424,63955.898192702145,59824.824981111604,64921.332
2678,88519.0,52024.97037164728,65316.060125405136,65282.6680974682,65870.61
2679,71607.0,61856.489546679615,64935.21946682254,62131.166467418814,68368.68
2680,51275.0,58721.47488793517,63109.873825591996,60092.86282037605,63555.51
2681,45096.0,53154.935352598004,39436.834086198505,37617.82928042372,40809.062
2682,36690.0,50884.85856029007,33842.20515951753,31557.552423757963,34556.88
2683,64624.0,47293.927739273255,63621.85768759704,59487.468064887566,63218.438
2684,78157.0,56211.02219452366,65909.20973966489,63529.94269394213,65615.99
2685,61415.0,60210.958854131706,70977.13151307136,65187.778226264614,67204.48
2686,50918.0,56350.44959613894,66283.99700862246,61287.974334756,69632.3
2687,55687.0,53223.17901274198,61072.55531957336,60096.59531670998,63908.098
2688,38642.0,54686.305840424444,39003.647559804325,38001.20976816017,40575.824
2689,50340.0,48579.30857136032,32774.16925099946,32040.32067515719,33741.44
2690,58974.0,52385.47743242119,64576.45280916654,60881.5354025141,63318.477
2691,68384.0,55058.11104587293,66052.69333482816,64435.865060716045,64842.81
2692,75447.0,57973.10540606288,69635.14299910291,67077.73461154888,68049.805
2693,47581.0,60339.674140125586,66959.9708005904,63419.659467356934,69558.82
2694,71577.0,52462.290879729306,61022.13465205893,61975.05433070359,65712.74
2695,40081.0,59661.6401868482,40443.77872343041,38934.21634333956,41740.008
2696,29533.0,49815.00597367388,34058.39572801602,32736.39183060313,33815.184
2697,66603.0,44614.81705554676,61899.71913057531,62102.33283964179,63876.473
2698,56325.0,57038.721188759526,64758.70099288467,65744.66740182377,67751.6
2699,48060.0,54408.87104307448,66712.12691066998,68466.68357876403,68946.78
2700,55207.0,51754.45548615747,60542.16055201484,64730.440148590766,68788.3
2701,84909.0,53953.59999861844,57235.857049023856,63317.5118859685,63657.242
2702,38946.0,62138.85919268445,39051.96342466533,39715.48810345502,40534.094
2703,37774.0,48945.21534746666,32923.043221375316,33422.10350392526,33529.918
2704,80823.0,47933.0613944328,62263.230591618114,63156.89094634919,63132.582
2705,49154.0,60676.004045871356,66736.76786677625,66998.78505096321,66427.78
2706,75287.0,52342.87968098698,67223.14545528607,69714.69488694578,68418.64
2707,77058.0,59921.45189303886,64911.37358198632,65704.68410240313,69852.25
2708,85106.0,61039.63706117044,63884.660218985526,64260.55280965668,64987.676
2709,46804.0,63752.31747531363,42782.707484165265,39670.0907405437,42171.625
2710,45735.0,53229.386906659536,36503.811278443995,34053.260565131364,35260.457
2711,67855.0,52507.39822124676,69988.87087729407,63621.72075470125,65835.625
2712,80766.0,59286.48569740364,71874.28197839267,66619.21079943965,69357.84
2713,73079.0,63141.43912151504,76871.04069219278,67046.12221721488,71076.016
2714,70581.0,61849.417528409285,72671.07609773384,66617.48437301042,72774.19
2715,87880.0,61645.56176146909,69599.0360301425,66854.33569578135,66265.164
2716,45891.0,66633.65782257484,46120.505155086656,40474.066296499215,42557.188
2717,22483.0,54669.838573562134,38946.7901129033,34504.70837429424,36523.176
2718,48059.0,42963.98416786723,67099.84220898565,64435.36792874146,67843.48
