Forecast_Origin_Index,Target_Date,Unconstrained_Groundtruth,ARIMA,SARIMA,SD-SVR,Tsformer
0,2024-03-14,66013.99999999997,52403.25677102472,60290.43117255464,85300.33862601212,63595.59
0,2024-03-15,66848.00000000001,49429.63716919997,57923.3143169711,76069.41154029427,47646.91
0,2024-03-16,38474.99999999998,48629.4089484265,36836.9723956676,44656.637652118756,35527.594
0,2024-03-17,31727.000000000007,48408.155639978206,31112.819967307394,34555.04190270604,32707.195
0,2024-03-18,58091.999999999985,48346.51923950799,57938.620293551336,62118.89424316799,45325.637
0,2024-03-19,55462.00000000002,48329.31252337149,59841.34141263997,63894.93742912735,55382.56
0,2024-03-20,52918.99999999999,48324.50619094162,62984.860672021736,66758.57329211407,60494.742
0,2024-03-21,51025.999999999985,48323.1634232572,60315.32501493301,65987.77260810876,66207.05
0,2024-03-22,81921.99999999994,48322.78827073868,57940.68195673696,62267.61482230242,48116.29
0,2024-03-23,43009.99999999998,48322.68345646855,36848.03604934579,39956.02186762298,36508.652
0,2024-03-24,25839.00000000001,48322.6541721908,31122.164401227717,33549.57606765388,33486.426
0,2024-03-25,55774.000000000015,48322.64599038713,57956.021338211016,61197.30039368952,46660.434
0,2024-03-26,53554.999999999956,48322.64370445304,59859.313902794915,61464.86079351174,57340.42
0,2024-03-27,71349.00000000003,48322.64306578026,63003.77725740436,65909.75932614175,61925.285
0,2024-03-28,52211.00000000003,48322.64288733986,60333.43985689814,64829.804945318,62736.81
0,2024-03-29,58759.99999999999,48322.642837485,57958.08362057474,62292.70888860459,49798.473
0,2024-03-30,46031.999999999985,48322.64282355591,36859.102944824524,40099.77010618984,37046.445
0,2024-03-31,28572.000000000025,48322.64281966427,31131.511641870224,34281.19851609313,34996.73
0,2024-04-01,53561.99999999997,48322.64281857693,57973.42760893552,63059.47984752649,48184.62
0,2024-04-02,61620.00000000002,48322.64281827314,59877.29179063987,65325.039511828065,57195.363
0,2024-04-03,91515.00000000006,48322.642818188244,63022.69952401776,67398.35793776745,58698.164
0,2024-04-04,49150.00000000001,48322.64281816455,60351.5601393059,65867.8039388471,68203.46
0,2024-04-05,29300.000000000007,48322.64281815795,57975.49051066588,62918.4994946269,52445.703
0,2024-04-06,34501.00000000001,48322.642818156055,36870.17316403139,39911.11748286436,37651.65
0,2024-04-07,40718.00000000003,48322.64281815554,31140.861689775724,34577.91277672277,34450.23
0,2024-04-08,75709.00000000001,48322.64281815537,57990.83910729688,62681.516897777015,49666.855
0,2024-04-09,64341.99999999998,48322.64281815537,59895.27507779583,66598.03488272351,59104.297
0,2024-04-10,78988.00000000004,48322.64281815537,63041.627473568056,68105.18886604952,61388.43
0,2024-04-11,63576.00000000006,48322.64281815537,60369.68586379011,66005.2033651441,68193.7
0,2024-04-12,56399.000000000044,48322.64281815537,57992.90262857989,62816.08655017753,54975.36
1,2024-03-15,66848.00000000001,53313.42263937904,58646.56241073436,75281.50572440733,49310.8
1,2024-03-16,38474.99999999998,50221.006488734216,37309.383143486455,44516.432186236525,36502.875
1,2024-03-17,31727.000000000007,49388.77419461253,31511.860117247557,34213.317052486746,35517.5
1,2024-03-18,58091.999999999985,49158.520441654,58681.85775820972,62710.83161008805,42879.36
1,2024-03-19,55462.00000000002,49094.32297125521,60608.65657645988,64195.336423781824,55980.066
1,2024-03-20,52918.99999999999,49076.38535210077,63792.88764473141,66835.35916614448,63880.74
1,2024-03-21,51025.999999999985,49071.37032509437,61104.18417887013,65666.41132390642,59321.766
1,2024-03-22,81921.99999999994,49069.967979992965,58686.20409577566,61619.37768204715,50151.4
1,2024-03-23,43009.99999999998,49069.57582569169,37321.839763237775,39112.985183897435,36886.566
1,2024-03-24,25839.00000000001,49069.46616151457,31522.42841345284,33343.830503616424,35685.19
1,2024-03-25,55774.000000000015,49069.435494310324,58701.53752250466,60904.01540038962,42898.5
1,2024-03-26,53554.999999999956,49069.426918324876,60628.98250985119,61694.00211291317,59233.855
1,2024-03-27,71349.00000000003,49069.42452007738,63814.28143548677,65635.21181728518,64319.293
1,2024-03-28,52211.00000000003,49069.423849414896,61124.67629140078,63948.88903264227,61196.176
1,2024-03-29,58759.99999999999,49069.423661866225,58705.885319334695,61926.47741273339,49185.023
1,2024-03-30,46031.999999999985,49069.423609418795,37334.35627624179,40174.816613233845,37836.344
1,2024-03-31,28572.000000000025,49069.42359475206,31533.000047448837,34271.35996024915,37594.168
1,2024-04-01,53561.99999999997,49069.42359065052,58721.22388825095,63321.323501127925,45098.49
1,2024-04-02,61620.00000000002,49069.42358950358,60649.31525969916,65670.78042759933,61194.31
1,2024-04-03,91515.00000000006,49069.42358918281,63835.682400820966,67265.08317167028,64817.83
1,2024-04-04,49150.00000000001,49069.423589093116,61145.175276125476,65016.36238716842,59365.91
1,2024-04-05,29300.000000000007,49069.42358906801,58725.57314314965,62784.773848334065,53346.965
1,2024-04-06,34501.00000000001,49069.423589061036,37346.87698675875,39879.42061069788,38416.22
1,2024-04-07,40718.00000000003,49069.423589059035,31543.57522672701,34136.947563325026,38358.12
1,2024-04-08,75709.00000000001,49069.42358905851,58740.91685597775,62948.68692476457,44869.953
1,2024-04-09,64341.99999999998,49069.42358905834,60669.65482829762,65701.81365134676,61096.69
1,2024-04-10,78988.00000000004,49069.42358905834,63857.090543140264,67484.08146339317,68103.1
1,2024-04-11,63576.00000000006,49069.42358905834,61165.68113534875,65162.06643639307,60443.477
1,2024-04-12,56399.000000000044,49069.42358905834,58745.26756943389,62427.06917828386,52439.55
1,2024-04-13,39992.00000000002,49069.42358905834,37359.40189619618,40558.672109677056,40023.656
2,2024-03-16,38474.99999999998,54087.22593684544,37981.854895768236,44576.2200037698,34397.438
2,2024-03-17,31727.000000000007,50973.7173979458,32095.957710773382,34207.21952429725,32265.365
2,2024-03-18,58091.999999999985,50134.82694721435,59768.937063630794,61469.92398481866,43576.15
2,2024-03-19,55462.00000000002,49902.5105410625,61732.48117139748,63640.55863601526,60566.902
2,2024-03-20,52918.99999999999,49837.679979723696,64974.46475845449,66853.54896371989,58799.965
2,2024-03-21,51025.999999999985,49819.54948944506,62236.00569736015,64715.04650136288,58928.188
2,2024-03-22,81921.99999999994,49814.47608470964,59793.8367771482,61393.91913460056,50289.24
2,2024-03-23,43009.99999999998,49813.05616988647,38015.67006651477,38547.45546873223,34988.387
2,2024-03-24,25839.00000000001,49812.65875378576,32108.226338213426,32597.957176532593,33510.32
2,2024-03-25,55774.000000000015,49812.547520612374,59791.92043131538,60635.134900125624,44966.77
2,2024-03-26,53554.999999999956,49812.516387338415,61756.218942128835,61596.358753698194,60094.473
2,2024-03-27,71349.00000000003,49812.50767337548,64999.44914041486,66137.23519600251,61736.65
2,2024-03-28,52211.00000000003,49812.50523440389,62259.93708634426,63988.137972564626,58414.25
2,2024-03-29,58759.99999999999,49812.504551754326,59816.8291027289,61552.830477664604,50674.73
2,2024-03-30,46031.999999999985,49812.50436068592,38030.288245989446,40064.785330232975,35054.418
2,2024-03-31,28572.000000000025,49812.5043072073,32120.572985949373,34482.099538138595,32788.46
2,2024-04-01,53561.99999999997,49812.50429223909,59814.912020022515,62816.650295665866,47994.062
2,2024-04-02,61620.00000000002,49812.504288049604,61779.96584339036,65816.94308967487,61597.734
2,2024-04-03,91515.00000000006,49812.50428687698,65024.44312936275,67808.41594492529,63840.055
2,2024-04-04,49150.00000000001,49812.504286548785,62283.87767743248,65121.58054091866,58613.805
2,2024-04-05,29300.000000000007,49812.50428645693,59839.83026932459,62089.674914169314,53711.77
2,2024-04-06,34501.00000000001,49812.50428643118,38044.91204645022,39831.586957919084,36724.188
