Date,Unconstrained_Groundtruth,ARIMA,SARIMA,SD-SVR,Tsformer
2630,66014.0,52402.502012228164,60307.62832314381,94611.88243050496,60066.125
2631,66848.0,53314.204152504586,58644.98836785787,86601.12757803181,55739.793
2632,38475.0,54089.35645944189,37965.19576300009,46498.04786725889,36761.867
2633,31727.0,45598.129821987386,32144.764778344936,37974.16109487118,32696.16
2634,58092.0,42455.49296279396,59780.02239725562,67308.43335956674,56608.38
2635,55462.0,51038.66708966487,61494.7803365833,82087.58844882566,60653.855
2636,52919.0,50584.09746356467,63853.56787037341,80087.00642317785,61953.79
2637,51026.0,50033.50324651994,59577.40804521912,75842.08573297544,59584.36
2638,81922.0,49573.67864784154,55993.08493654516,70538.20742183647,54272.34
2639,43010.0,57963.75171578969,37441.29978532656,45339.637950960394,36335.188
2640,25839.0,47730.857531068745,32279.023661311232,33169.633912168705,32465.354
2641,55774.0,40197.03437276999,58370.16766352498,54931.071561464974,55872.926
2642,53555.0,50615.52068882137,59845.414528189955,53956.49294409829,58635.938
2643,71349.0,50182.06015627243,62051.61634241884,55707.899465645474,60185.598
2644,52211.0,55283.19768707845,60534.99720989518,51875.646586984214,60516.19
2645,58760.0,50536.89133684223,57107.77621458235,60398.71637349404,55046.527
2646,46032.0,52607.34139272115,36388.84950144776,38755.995535851514,35698.21
2647,28572.0,48834.90285713494,31704.551243718077,29594.926689497526,31589.086
2648,53562.0,41670.73311858203,58311.15274304619,53436.69892984628,54288.27
2649,61620.0,50247.26854885279,59483.63048731238,64375.02848135047,60251.094
2650,91515.0,52759.206778169435,62947.76811085959,70723.45834017947,61909.28
2651,49150.0,60487.863237547775,63379.959179664795,64949.49040169007,62600.97
2652,29300.0,50362.42775308216,59025.89301465253,59732.254995384596,57560.01
2653,34501.0,42488.69285333063,34059.17201813354,35166.14249741427,36181.785
2654,40718.0,44020.1182806855,28711.18557020936,33477.06135435488,32432.793
2655,75709.0,45930.1163555526,56122.20399869453,58858.58495937239,58339.734
2656,64342.0,55919.404878342895,60452.9963556026,66428.73817307512,63931.176
2657,78988.0,53802.50353029663,64293.97040018411,63715.6375242526,63906.273
2658,63576.0,58033.0590789622,63201.256748324944,60045.82576515876,63313.242
2659,56399.0,54859.75049175533,60792.0259508997,56159.2059363187,59601.605
2660,39992.0,53124.40053282903,38306.951557782,34313.810038434654,39359.992
2661,36497.0,47607.79907934051,32519.363254776858,31082.68901138498,36997.484
2662,75227.0,45817.25847140684,61564.45737470152,57389.89170924572,61358.207
2663,54928.0,57419.326008934004,65337.05462812651,63995.88883311288,63696.215
2664,76263.0,52483.578400795086,67305.13152893235,64533.53084994306,64799.027
2665,47298.0,58553.742494528655,65379.89793222088,59235.54349820573,64915.543
2666,55272.0,50726.828333791724,60093.09272760902,55823.70187669791,59954.38
2667,43105.0,53196.6610392829,37818.75657395461,34720.77131541748,39095.727
2668,36481.0,49137.920738124536,32503.949114567476,31336.951780724226,36545.38
2669,68462.0,46238.26951870264,61542.64551125736,56852.66741162583,59565.91
2670,73216.0,56149.82915177855,64444.16717851017,63238.558848276385,63740.676
2671,52886.0,57944.08294451977,69196.13375373402,62048.01157046956,65082.254
2672,67500.0,52691.56585100621,63575.117681161144,56782.67021042871,63696.242
2673,42544.0,57070.11106032808,61576.12131800949,53064.20174811269,59404.41
2674,42969.0,49485.691151681036,37452.353712414944,32626.729660994002,38255.52
2675,41478.0,49287.4879944271,32144.02447277161,29729.659370535763,34423.008
2676,60816.0,48403.305953466,61987.13364045122,53718.80088641244,59741.887
2677,52079.0,54438.473495235805,63949.78715578349,59961.933458859545,60378.016
2678,88519.0,52027.3709580857,65375.0401082424,59369.64807548352,63384.176
2679,71607.0,61857.36099781243,64952.925587394675,56261.66874081253,63897.688
2680,51275.0,58725.52149864725,63140.13983466906,56307.99688178428,60584.457
2681,45096.0,53161.05302548606,39414.94091790412,35504.39701249399,38491.254
2682,36690.0,50890.085905239655,33824.36630338498,29963.370706952875,34618.64
2683,64624.0,47298.37997895968,63622.52735381554,51454.11982370444,56983.34
2684,78157.0,56212.6999257318,65903.72525841818,61988.2895548044,66661.44
2685,61415.0,60213.10743644106,71020.90067616988,63492.855756200224,67476.79
2686,50918.0,56354.95343622392,66322.08321213405,58380.83681304994,65976.03
2687,55687.0,53228.37365303721,61104.58486940066,54458.91226037372,60626.484
2688,38642.0,54690.805883760535,38974.79721058323,33694.69362292752,38942.758
2689,50340.0,48583.906205191226,32758.261103066474,29342.719393274114,35570.3
2690,58974.0,52388.125812037564,64556.11715203414,51528.13343948655,64451.277
2691,68384.0,55060.06288089122,66053.15828245867,61143.81666834365,64069.53
2692,75447.0,57975.15421804754,69685.50037655579,62844.31507999294,65400.613
2693,47581.0,60342.551971322486,66985.65407241051,59065.96353025987,65838.375
2694,71577.0,52467.67716198112,61054.64611008413,56015.18833339087,60365.344
2695,40081.0,59665.11060585815,40407.770145753035,35276.97889596538,39016.035
2696,29533.0,49820.35305146819,34041.350812989825,30659.935346864833,35099.42
2697,66603.0,44619.47793470861,61907.03702794853,53232.36618425941,59241.67
2698,56325.0,57038.49390470447,64745.88518134282,63567.479954356146,64470.535
2699,48060.0,54410.199451717155,66764.32289824876,64977.49960749274,65164.734
2700,55207.0,51756.3532361806,60577.9601300854,60045.74960886613,63917.723
2701,84909.0,53954.50638519309,57251.00938564976,56751.220491316955,58645.168
2702,38946.0,62138.408975400715,39008.10818348734,35096.33556281769,38481.26
2703,37774.0,48949.004259492685,32906.787008723724,30493.796720624872,34833.805
2704,80823.0,47935.311469317436,62258.46152502508,53570.8878772271,58329.668
2705,49154.0,60674.92028209305,66720.65296262443,64062.05894036215,63505.48
2706,75287.0,52344.847382182066,67290.6952683752,65585.67778911261,66793.04
2707,77058.0,59921.84289613769,64936.00932437538,61229.39328283299,66174.875
2708,85106.0,61041.542030628196,63905.21954921219,58128.820603783526,61496.258
2709,46804.0,63755.635749384724,42626.0386195048,38254.717419279965,41695.645
2710,45735.0,53235.759920044664,36488.26483791897,34550.488682418014,36558.5
2711,67855.0,52512.59366076036,69987.08068015674,60098.85231711536,57891.66
2712,80766.0,59289.87096050906,71881.76606249785,60239.14614078585,69027.18
2713,73079.0,63145.348405614764,76927.04905148257,65435.674965885984,72664.41
2714,70581.0,61855.24649060824,72703.47438418218,63377.913853644895,70992.42
2715,87880.0,61652.530265792106,69626.60312611521,63580.59220361599,65858.99
2716,45891.0,66641.09975729561,46076.9440676459,39500.45450455038,43680.67
2717,22483.0,54679.382501988686,38929.342345321056,34055.35980457408,38138.043
2718,48059.0,42971.80728860992,67132.77109894075,61209.81237671127,68939.99
2719,68296.0,53353.28488137297,66037.26629370273,63108.818584594665,69212.26
2720,81542.0,59508.53427491821,69957.5154338995,67111.18444308336,69780.83
2721,85741.0,63453.88269208244,68086.16577486167,64535.03882093294,69367.04
2722,72004.0,65281.48344649927,67708.6295844387,64316.6311543616,64965.22
2723,27057.0,62483.87302967311,43527.15480572234,40471.586594689776,40333.902
2724,41080.0,45758.91275044864,34421.98322612949,35042.40146268656,36156.527
2725,46984.0,51113.56859088691,65673.26531899393,62253.76977970199,65369.855
2726,75235.0,52844.678863956535,64675.47085092229,63634.09732608158,67985.86
2727,68928.0,61243.36567320565,69678.76390819906,68062.02334713704,68931.414
2728,61866.0,60109.56441566746,66363.07922303725,64963.835920607526,66723.09
2729,59820.0,58411.18363734803,63290.48601833177,64526.05118209922,60884.566
2730,45147.0,57933.40256367888,39981.5668202803,40424.7427225081,38334.33
2731,36645.0,52947.10371685365,34364.30044681635,34914.03651988524,34445.58
2732,65215.0,49095.51161501192,64442.72073114644,61949.09746811683,65562.125
2733,66841.0,58408.25935989265,66625.94941888377,63272.53124732772,67763.29
2734,73814.0,59186.35025535942,70319.41265067781,67405.0686820259,67795.18
2735,61592.0,61482.35534387425,67500.98218226382,64133.30048782967,66742.71
2736,64486.0,58470.66957585406,64197.725374890884,63853.38913268353,62354.938
2737,44520.0,59497.07426686408,40903.96947566003,40034.68572337549,39744.98
2738,46332.0,52943.96203057202,34986.49643738052,34613.691093214984,36477.4
2739,53372.0,53195.774188956864,67545.81912512363,59101.13171541681,62601.438
2740,70189.0,55337.92333568685,67582.67285617522,64929.77362087062,67401.01
2741,59594.0,60390.88830721594,71616.57835005772,66691.38181989458,68985.47
2742,80487.0,57669.48788254826,66550.15385987313,63857.85074899197,68122.17
2743,53229.0,63691.45322767199,65747.58420608434,56728.420626131505,64083.29
2744,27148.0,56296.7010855556,40789.024976511515,34396.50803240692,40162.19
2745,29868.0,45101.3812925543,32619.15192992375,33739.7159335288,34643.887
2746,55690.0,45393.740474424485,59797.92896619916,59810.202977396046,63485.285
2747,64932.0,54538.58808421972,61151.45530766206,65282.433479617546,66572.695
2748,50506.0,57394.28408935453,65014.12963619232,66209.59337336056,69060.25
2749,70194.0,53190.48893475494,59933.20571106115,61960.86898715759,66154.08
2750,79968.0,59068.10886509261,58900.77084712396,56990.11034179506,61512.457
2751,36239.0,62140.84364984289,39093.80048410822,35178.40085687482,38678.65
2752,28598.0,48594.56385538331,32763.00812128726,33662.98440273116,33289.605
2753,91405.0,44351.552122317014,59716.467082102215,58900.77721712467,59414.1
2754,77002.0,63409.6811077549,65327.33839004898,63562.58870425791,69235.65
2755,61057.0,61026.953710508365,70430.50289358715,64632.594884847924,72343.9
2756,58337.0,57217.37681749951,65980.68041071852,60711.286158979696,70597.89
2757,68946.0,56548.91430629051,62452.63805498853,55628.89913328751,64680.5
2758,31952.0,59792.45496251062,40244.646432458605,34181.283164000415,42639.38
2759,32373.0,46892.545516983824,33023.87942458812,32925.08918320062,39461.4
2760,87793.0,46233.00336361841,61218.670157254,57790.19933541158,62106.055
2761,47008.0,62860.03218979188,66354.20627385129,63179.30848219467,71617.52
2762,79496.0,52152.58524308539,66755.4903475532,63890.013488800585,72384.586
2763,66041.0,61515.930407258405,65213.78367682309,59805.53542395514,70843.03
2764,54562.0,58638.405298980506,62931.799696336086,55129.6403791966,66017.55
2765,40826.0,55434.15894132599,39232.05830965227,34061.76437820606,42668.56
2766,36532.0,50430.56776813699,33387.630505271096,32687.938431316306,38994.72
2767,56069.0,48161.61380598108,62892.45739952233,57236.22404267567,59027.51
2768,77737.0,54615.555735458634,63849.685384080425,62198.21642033944,68416.734
2769,62342.0,60786.32281825184,69092.69275328693,62950.31235338,70622.86
2770,74844.0,57252.736354530105,65107.79006394499,62743.049172696396,68593.8
