Forecast_Origin_Index,Target_Date,Unconstrained_Groundtruth,ARIMA,SARIMA,SD-SVR,Tsformer
0,2024-03-14,66013.99999999997,52402.502012228164,60307.62832314381,85338.45831866909,63554.24
0,2024-03-15,66848.00000000001,49430.72687316619,57930.23498604537,76055.16613300209,47613.387
0,2024-03-16,38474.99999999998,48631.52576358702,36824.54481272432,44670.48494654942,35546.473
0,2024-03-17,31727.000000000007,48410.70612734728,31104.13633635462,34508.351375347076,32720.799
0,2024-03-18,58091.999999999985,48349.23276634463,57940.845192695466,62132.98933027271,45278.11
0,2024-03-19,55462.00000000002,48332.083413722394,59839.177504939726,63937.319498120654,55321.008
0,2024-03-20,52918.99999999999,48327.296419217775,63021.86860007744,66816.95355802131,60548.94
0,2024-03-21,51025.999999999985,48325.95998016421,60334.1748631826,65969.23844580485,66158.26
0,2024-03-22,81921.99999999994,48325.58685441658,57948.03371376404,62247.181529216294,48061.85
0,2024-03-23,43009.99999999998,48325.48267862331,36835.88505467912,39953.78586570092,36570.23
0,2024-03-24,25839.00000000001,48325.45359289391,31113.714890522126,33571.150385119836,33532.766
0,2024-03-25,55774.000000000015,48325.44547219263,57958.68787734573,61256.03419614132,46623.246
0,2024-03-26,53554.999999999956,48325.443204901785,59857.604764422336,61527.198098033936,57221.387
0,2024-03-27,71349.00000000003,48325.442571876665,63041.27594145656,65944.23951035105,62022.805
0,2024-03-28,52211.00000000003,48325.442395136735,60352.754552773724,64826.380655985064,62687.766
0,2024-03-29,58759.99999999999,48325.44234579114,57965.87861205014,62279.17318920142,49758.215
0,2024-03-30,46031.999999999985,48325.442332013874,36847.228651368314,40067.59787943768,37081.617
0,2024-03-31,28572.000000000025,48325.44232816724,31123.296394938025,34241.4523309479,35061.773
0,2024-04-01,53561.99999999997,48325.442327093326,57976.536056488454,63130.374872648696,48128.36
0,2024-04-02,61620.00000000002,48325.44232679347,59876.03769841829,65312.13078741566,57116.324
0,2024-04-03,91515.00000000006,48325.442326709766,63060.68925915688,67441.63478108811,58770.086
0,2024-04-04,49150.00000000001,48325.44232668642,60371.339963818034,65832.89760224315,68195.33
0,2024-04-05,29300.000000000007,48325.44232667989,57983.72900551685,62908.99328554828,52396.71
0,2024-04-06,34501.00000000001,48325.44232667809,36858.57574121906,39922.92759163841,37686.062
0,2024-04-07,40718.00000000003,48325.44232667758,31132.88084989449,34587.650374588484,34498.395
0,2024-04-08,75709.00000000001,48325.4423266774,57994.389731822004,62722.97847312046,49578.074
0,2024-04-09,64341.99999999998,48325.4423266774,59894.47630867521,66617.12997121086,59013.613
0,2024-04-10,78988.00000000004,48325.4423266774,63080.10855501867,68159.47221332084,61435.93
0,2024-04-11,63576.00000000006,48325.4423266774,60389.93109807718,66065.8438178198,68141.76
0,2024-04-12,56399.000000000044,48325.4423266774,58001.58489585617,62822.90078435551,54928.77
1,2024-03-15,66848.00000000001,53314.204152504586,58644.98836785787,75261.23689507695,49251.863
1,2024-03-16,38474.99999999998,50223.8910722855,37297.15075834091,44507.18351410265,36493.094
1,2024-03-17,31727.000000000007,49392.73572542986,31502.588592882836,34208.86568409968,35525.258
1,2024-03-18,58091.999999999985,49162.925085923336,58681.86825681391,62687.04022938584,42858.71
1,2024-03-19,55462.00000000002,49098.89222557078,60607.15287182303,64251.15526256246,55917.05
1,2024-03-20,52918.99999999999,49081.012140521576,63827.477544503745,66885.0621157767,63850.71
1,2024-03-21,51025.999999999985,49076.016430908465,61120.27473382585,65710.27957978207,59333.023
1,2024-03-22,81921.99999999994,49074.62039140667,58688.86997484063,61621.78432912131,50080.71
1,2024-03-23,43009.99999999998,49074.23025309071,37309.72727441133,39104.521882649016,36867.434
1,2024-03-24,25839.00000000001,49074.12122329517,31513.279643439066,33367.1208667167,35709.297
1,2024-03-25,55774.000000000015,49074.09075323015,58701.7821884165,60924.8229233435,42902.387
1,2024-03-26,53554.999999999956,49074.08223788982,60627.72014915949,61712.147899028474,59136.773
1,2024-03-27,71349.00000000003,49074.07985814292,63849.13763371915,65671.64356367796,64229.86
1,2024-03-28,52211.00000000003,49074.07919308492,61141.0161382057,63968.73414323388,61219.992
1,2024-03-29,58759.99999999999,49074.07900722386,58708.786286001625,61907.61337194685,49089.797
1,2024-03-30,46031.999999999985,49074.078955282035,37322.38860854546,40115.892622174746,37819.75
1,2024-03-31,28572.000000000025,49074.07894076603,31523.973962572203,34244.097371719414,37609.84
1,2024-04-01,53561.99999999997,49074.078936709346,58721.702881316,63273.71374356874,45103.348
1,2024-04-02,61620.00000000002,49074.078935575635,60648.294405948625,65698.04847928903,61049.223
1,2024-04-03,91515.00000000006,49074.07893525884,63870.80507325054,67326.10991304154,64754.066
1,2024-04-04,49150.00000000001,49074.07893517027,61161.76458114723,65000.042855557156,59362.91
1,2024-04-05,29300.000000000007,49074.07893514552,58728.709355730156,62765.55402622213,53256.023
1,2024-04-06,34501.00000000001,49074.07893513863,37335.05423928257,39913.72366835048,38386.63
1,2024-04-07,40718.00000000003,49074.07893513671,31534.671910805006,34125.161974129674,38387.652
1,2024-04-08,75709.00000000001,49074.07893513619,58741.63033426998,62985.26665193766,44832.867
1,2024-04-09,64341.99999999998,49074.078935136014,60668.875644578075,65781.55726067214,60964.45
1,2024-04-10,78988.00000000004,49074.078935136014,63892.479865592024,67539.9460091858,68005.69
1,2024-04-11,63576.00000000006,49074.078935136014,61182.52006503886,65231.50329428946,60463.887
1,2024-04-12,56399.000000000044,49074.078935136014,58748.63918631974,62415.35242587167,52333.785
1,2024-04-13,39992.00000000002,49074.078935136014,37347.724168080706,40573.219514482436,40043.355
2,2024-03-16,38474.99999999998,54089.35645944189,37965.19576300009,44599.40053154372,34431.473
2,2024-03-17,31727.000000000007,50978.28603676188,32088.00402227666,34201.81508107578,32286.574
2,2024-03-18,58091.999999999985,50140.575249879366,59774.736604636164,61449.50205761191,43525.52
2,2024-03-19,55462.00000000002,49908.73490526641,61730.12195312852,63645.106606675385,60559.742
2,2024-03-20,52918.99999999999,49844.0795439245,65017.025035722,66893.90168260975,58839.625
2,2024-03-21,51025.999999999985,49826.009965309546,62259.26531525745,64744.341891434386,58929.31
2,2024-03-22,81921.99999999994,49820.95694556839,59807.438290235936,61432.6345038409,50189.53
2,2024-03-23,43009.99999999998,49819.54367101096,38003.22903775989,38565.99184462552,34996.73
2,2024-03-24,25839.00000000001,49819.148375041885,32100.536943279607,32602.7296241946,33543.13
2,2024-03-25,55774.000000000015,49819.03780845366,59798.2817234415,60666.77590083747,44847.836
2,2024-03-26,53554.999999999956,49819.00688222093,61754.43616452436,61630.35575231654,60018.008
2,2024-03-27,71349.00000000003,49818.99823193277,65042.63387531345,66130.62864883567,61782.35
2,2024-03-28,52211.00000000003,49818.99581238465,62283.78794793259,64021.30405067158,58438.32
2,2024-03-29,58759.99999999999,49818.995135619494,59830.99521463481,61561.09148859192,50562.152
2,2024-03-30,46031.999999999985,49818.994946323415,38018.19787453064,40044.919191666704,35081.44
2,2024-03-31,28572.000000000025,49818.99489337589,32113.180869462572,34458.48833863965,32819.31
2,2024-04-01,53561.99999999997,49818.99487856609,59821.83504131665,62815.67855731983,47927.465
2,2024-04-02,61620.00000000002,49818.99487442367,61778.759958666706,65867.99381199316,61501.117
2,2024-04-03,91515.00000000006,49818.994873264965,65068.252801498966,67896.71909680057,63856.496
2,2024-04-04,49150.00000000001,49818.994872940886,62308.32023940907,65209.3943027767,58633.04
2,2024-04-05,29300.000000000007,49818.994872850264,59854.56141746824,62122.711757239646,53589.227
2,2024-04-06,34501.00000000001,49818.994872824864,38033.17260712081,39863.61221989923,36717.918
2,2024-04-07,40718.00000000003,49818.994872817784,32125.829775745646,33865.36339950265,32584.713
2,2024-04-08,75709.00000000001,49818.99487281584,59845.39763620584,62510.92673661106,49584.17
2,2024-04-09,64341.99999999998,49818.99487281531,61803.09333329284,65546.67587591063,61960.02
2,2024-04-10,78988.00000000004,49818.99487281513,65093.88181828571,66890.01417577559,62868.938
2,2024-04-11,63576.00000000006,49818.99487281513,62332.862193490786,65433.912371814265,62410.027
2,2024-04-12,56399.000000000044,49818.99487281513,59878.136902390856,62024.356276935105,52291.13
2,2024-04-13,39992.00000000002,49818.99487281513,38048.153237852675,40264.755985103715,35585.82
2,2024-04-14,36497.00000000002,49818.99487281513,32138.48366409041,34772.505657356356,34754.324
3,2024-03-17,31727.000000000007,45598.129821987386,32144.764778344936,34147.14357922275,36227.883
3,2024-03-18,58091.999999999985,47814.079932102075,59882.57999881185,61946.66543796625,46602.4
3,2024-03-19,55462.00000000002,48452.17898644562,61844.89028647375,63354.651934416455,60386.55
3,2024-03-20,52918.99999999999,48631.96293652595,65133.801737397305,66826.18673912398,64954.215
3,2024-03-21,51025.999999999985,48682.30864096759,62371.15038421933,65159.6200490653,56762.22
3,2024-03-22,81921.99999999994,48696.38313135545,59912.66959313683,60728.99140635196,48028.13
3,2024-03-23,43009.99999999998,48700.31587655462,38075.02245766638,38663.52939985926,38200.992
3,2024-03-24,25839.00000000001,48701.414632079424,32159.331655216614,32402.89743240757,37068.25
