Date,Unconstrained_Groundtruth,ARIMA,SARIMA,SD-SVR,Tsformer
2630,66014.0,52395.46191196241,60250.773872653896,94961.91659821518,59992.074
2631,66848.0,53306.86844869565,58655.629320151435,86210.3948846123,54979.754
2632,38475.0,54082.228037483306,37949.59846574067,46344.57937470279,34898.16
2633,31727.0,45611.675756716766,32141.596030487373,37674.31995057353,32907.055
2634,58092.0,42473.44144329717,59754.34897975222,67748.97715482398,54491.05
2635,55462.0,51035.38906155524,61536.04616000322,82428.48296026657,59848.19
2636,52919.0,50583.030519165004,63840.1026872839,80305.91519034062,61940.426
2637,51026.0,50034.44326131028,59547.59903651057,76248.27943842893,60013.33
2638,81922.0,49576.00273825385,56029.882872648115,70868.05229886142,54502.734
2639,43010.0,57945.86137304048,37427.63981545163,45580.44424670646,34898.453
2640,25839.0,47740.53115431265,32272.01713128039,33255.387938912405,32515.979
2641,55774.0,40219.9642412657,58362.74877688232,55249.548252199165,54583.742
2642,53555.0,50612.90640782522,59892.18918102432,54288.39168893408,58451.28
2643,71349.0,50181.33309763749,62051.429662122544,55979.740157435896,60433.297
2644,52211.0,55270.79755965595,60484.26216249137,52102.22506494459,60430.1
2645,58760.0,50538.386433190666,57145.42751108863,60161.14320055044,54840.17
2646,46032.0,52604.25412059806,36389.29938527403,38643.941848000984,34660.547
2647,28572.0,48841.26847882742,31695.87997617164,29491.4814929132,31784.37
2648,53562.0,41690.80566735192,58298.171609471625,53388.22298548747,51948.945
2649,61620.0,50245.796206751394,59532.725278730926,64401.31883003879,59314.594
2650,91515.0,52752.33800919819,62928.04950513186,70979.21346058704,62028.844
2651,49150.0,60463.7110957304,63300.00486975619,65278.33762821418,62032.027
2652,29300.0,50366.84869446576,59072.28625129522,60032.65578329671,56702.16
2653,34501.0,42508.52628276557,34089.32217474086,35339.26288461813,35645.992
2654,40718.0,44033.55886392226,28714.581113072716,33626.809774912945,33551.207
2655,75709.0,45937.49105337472,56087.9227613225,59482.45692864869,57503.133
2656,64342.0,55902.11372262609,60464.95985105977,66927.32137217854,62341.723
2657,78988.0,53793.725599836536,64278.25828870609,64614.96758647714,63613.58
2658,63576.0,58015.69539314627,63136.59635285377,60399.495154787655,63071.582
2659,56399.0,54853.34833486576,60815.198155747225,56415.681238540616,58773.97
2660,39992.0,53123.44469139033,38316.046933922145,34375.063953952864,38021.69
2661,36497.0,47619.29095271182,32513.97909184922,31104.76751796819,37602.99
2662,75227.0,45830.54358374112,61532.445533628,57531.349499413256,61058.8
2663,54928.0,57404.47323223759,65366.8916936568,63983.034781783055,62046.664
2664,76263.0,52482.999903622986,67291.09249217888,64796.85622037887,63844.54
2665,47298.0,58539.13542286309,65318.957104661284,59431.35814584775,64612.895
2666,55272.0,50733.2865700316,60136.25570096304,55998.49152723919,59948.41
2667,43105.0,53196.949768510094,37842.25664696084,34734.35384642663,38876.875
2668,36481.0,49147.20853822888,32498.370312292755,31473.38379273851,37408.504
2669,68462.0,46252.18144460744,61514.222418618454,57318.547121217576,59123.555
2670,73216.0,56139.07351000445,64486.21586710332,63637.067711788375,62950.734
2671,52886.0,57931.091791575825,69159.83307824127,62729.96977764292,64519.805
2672,67500.0,52693.18285900092,63556.1980120583,57073.26957579044,63706.242
2673,42544.0,57061.91065081762,61604.559567220625,53276.5771822887,59300.867
2674,42969.0,49495.820371727896,37462.09381471525,32698.946474156422,38038.3
2675,41478.0,49296.383659495354,32135.896130270223,29735.79730181975,34933.816
2676,60816.0,48412.675815224364,61949.73697969994,53842.27080184814,59177.426
2677,52079.0,54432.95850340184,64003.33213953808,59918.79331348329,59889.51
2678,88519.0,52028.443641083955,65369.87454188729,59334.13728572583,63501.035
2679,71607.0,61834.58397971877,64897.09705219077,56180.841936449135,63666.09
2680,51275.0,58714.410751817544,63188.711324626645,56213.55087706566,59797.05
2681,45096.0,53165.08403939162,39405.26447621465,35498.6713603552,37573.684
2682,36690.0,50898.76113193056,33810.83984665849,29944.354046064083,36310.03
2683,64624.0,47313.002657519486,63595.23094534252,51429.99303886986,54347.418
2684,78157.0,56205.09061175997,65956.93954318805,61939.580315421386,65463.95
2685,61415.0,60197.31882340201,70973.84182518466,63699.0404110727,66588.11
2686,50918.0,56351.65162458406,66298.57602512625,58508.40965667159,65857.875
2687,55687.0,53232.98833683841,61175.88365427248,54493.4380861237,60516.562
2688,38642.0,54691.58628181659,38962.42958389048,33728.087501914844,38494.785
2689,50340.0,48597.71744853497,32752.272137801094,29360.470970636186,36296.15
2690,58974.0,52391.45707658884,64503.8810569145,51554.08296077611,64419.746
2691,68384.0,55056.77217750708,66126.10698988759,61197.03064878107,64208.08
2692,75447.0,57965.888997561415,69649.67449238247,62876.10252805213,65455.133
2693,47581.0,60329.08089173644,66952.6700921283,58999.541458231135,65802.78
2694,71577.0,52474.99271553349,61134.1493118909,55886.56438385861,60316.594
2695,40081.0,59654.8948657206,40381.056309055675,35246.31221423227,38051.168
2696,29533.0,49833.6632904755,34030.965425267226,30617.326821293627,37524.316
2697,66603.0,44640.34443663501,61901.05111981732,53155.18706242463,57681.695
2698,56325.0,57029.24723255678,64811.64882965744,63428.81909524206,63595.516
2699,48060.0,54408.812052366025,66749.85476755482,65016.73776249186,65308.812
2700,55207.0,51761.18772905715,60589.02108391468,60065.558945100805,64518.01
2701,84909.0,53953.78563542602,57314.98346990362,56697.63462288251,59407.484
2702,38946.0,62118.011201766836,38972.66213038634,35090.2935218557,37546.45
2703,37774.0,48962.198157751605,32898.26856172355,30475.73679760926,36526.965
2704,80823.0,47948.27208353716,62230.37987650904,53529.735217050664,58494.73
2705,49154.0,60656.06967112075,66756.4614361193,64016.67837616358,62653.58
2706,75287.0,52349.05640873505,67294.95766517949,65595.3508922546,66484.13
2707,77058.0,59907.64555757341,64915.63552525051,61146.546098453575,65818.7
2708,85106.0,61027.45657380323,63951.38147196449,57964.41377358801,60689.535
2709,46804.0,63737.648251974926,42583.59174593149,38111.639019485716,39678.516
2710,45735.0,53245.309949056405,36468.25780229901,34453.52881589844,35692.008
2711,67855.0,52522.022955611006,69935.80291877186,59994.00767993807,53603.062
2712,80766.0,59282.64126662421,71927.94806085968,60060.12884494495,67610.57
2713,73079.0,63130.200458858926,76887.27022364114,65140.060541137864,71545.14
2714,70581.0,61846.23439401614,72689.02901846734,63384.8103343109,69932.836
2715,87880.0,61645.964141339246,69685.12867676167,63178.416637724236,64899.883
2716,45891.0,66624.1587770865,46036.92200568439,39266.46060377159,42084.086
2717,22483.0,54692.66303539117,38912.41890612553,33842.75727929766,36862.707
2718,48059.0,43003.70960501875,67149.96225091879,61030.535596193855,67038.445
2719,68296.0,53360.08230936878,66121.13755658876,62805.494535403595,69181.016
2720,81542.0,59500.314474176,69942.49849303417,66635.17105929897,70070.15
2721,85741.0,63437.83853609062,68044.1851013161,64388.673036277985,69046.97
2722,72004.0,65263.87119777667,67759.70713584503,63870.56783743334,64183.348
2723,27057.0,62476.52500443178,43520.71793904834,40188.77496736013,38573.42
2724,41080.0,45786.934765946295,34442.68936770687,34791.01214875796,37931.926
2725,46984.0,51126.244282343956,65640.5686622599,62041.62141527883,63533.32
2726,75235.0,52851.040260728834,64759.87330475409,63347.6303446388,67599.49
2727,68928.0,61230.08798066274,69655.87134965454,67626.8128046096,68922.43
2728,61866.0,60101.33445272622,66324.3568444602,64910.513756188855,66708.81
2729,59820.0,58408.39910159512,63332.321277488685,64159.95794058562,60270.67
2730,45147.0,57932.33979375291,39983.40160226427,40213.61706061769,36724.797
2731,36645.0,52956.989802571436,34358.43462261584,34737.171558119975,35288.547
2732,65215.0,49110.8898437718,64421.8725120914,61874.118050483674,65157.773
2733,66841.0,58401.265801691625,66676.61364607642,63138.561330479526,67832.9
2734,73814.0,59179.05588424148,70314.71880756001,67166.657646717,67923.25
2735,61592.0,61470.759908283035,67462.85831791801,64257.96925387277,66634.36
2736,64486.0,58468.1931240928,64240.19708503771,63637.06252239601,61911.11
2737,44520.0,59492.88009558267,40899.23766256879,39912.02955791894,38366.08
2738,46332.0,52954.72295519464,34977.569805640545,34507.25183433371,38480.71
2739,53372.0,53204.23397422674,67500.40694317759,59151.58981631989,61466.18
2740,70189.0,55340.2786688837,67640.0568503182,64853.11092960716,67080.49
2741,59594.0,60381.352529699194,71595.29603830808,66613.44372000634,68967.055
2742,80487.0,57667.91816790715,66538.61189079186,63787.313518647476,68332.32
2743,53229.0,63676.10759221338,65777.49925089919,56435.29022523146,63724.395
2744,27148.0,56300.99440054361,40790.8059103409,34414.147080128634,39455.227
2745,29868.0,45126.39564154209,32632.899673462107,33807.64398803979,36888.125
2746,55690.0,45413.80269708662,59790.37389959517,59898.96583152701,63737.137
2747,64932.0,54536.1693301392,61210.98137312947,64858.082521691395,67160.96
2748,50506.0,57385.94834838757,65009.10660755037,65988.90532155575,69759.26
2749,70194.0,53193.08251607768,59920.17924906536,61872.78431863891,67357.82
2750,79968.0,59056.133672823846,58932.98442633133,56701.855896200505,62225.28
2751,36239.0,62123.5666587793,39074.58730763581,35211.413182228855,37757.656
2752,28598.0,48609.838778332356,32764.93782917984,33691.99940907247,35315.066
2753,91405.0,44371.47627254719,59704.576672233714,58862.34677929655,58737.01
2754,77002.0,63383.41897744458,65331.10787224208,63125.85574763224,68993.055
2755,61057.0,61011.086741036495,70394.86036452287,64368.78317640596,71360.96
2756,58337.0,57213.37623668466,65945.96743761348,60582.904017990826,69930.49
2757,68946.0,56547.151414674205,62494.89560355051,55301.652760124874,64221.2
2758,31952.0,59783.59764701384,40236.283276363,34197.47689379309,41619.457
2759,32373.0,46912.010209068896,33030.459864446006,32945.51251857761,39827.855
2760,87793.0,46250.109183848384,61202.10684386059,57744.50068951754,58771.73
2761,47008.0,62836.54620636187,66371.347160157,62675.16615552909,71438.81
2762,79496.0,52157.97149482529,66765.2530985618,63568.29039437515,72282.94
2763,66041.0,61498.72508893131,65158.248840600514,59617.060019568016,70814.58
2764,54562.0,58631.10437654296,62968.60374974142,54731.15278059025,66303.02
2765,40826.0,55435.33739311112,39237.65464566897,34027.18804790149,43386.83
2766,36532.0,50441.97681124225,33386.26073151085,32650.596601694553,40978.19
2767,56069.0,48175.39202944242,62866.73720217781,57090.18136065665,57850.37
2768,77737.0,54613.22955691571,63904.42847208962,61627.167309941804,68528.22
2769,62342.0,60769.75178134049,69060.50078153273,62543.34396988507,70705.195
2770,74844.0,57247.34663563672,65069.07477964586,62517.329389746235,68874.7
2771,82606.0,60975.91070568531,63844.95692322888,54262.83637946589,65273.68
2772,38125.0,63568.667120124264,41988.12651854118,36222.95241587317,40472.883
2773,38627.0,50126.75563093408,35142.43979609805,32012.235469533047,33250.105
2774,77072.0,49688.85589220008,66142.5829395645,60671.78401306814,66367.64
2775,78939.0,61377.595045840135,69703.96470949028,59515.317984195484,70513.266
2776,61716.0,62524.850704857876,74648.33888593332,62180.0349741959,73800.65
2777,76076.0,58383.17082101416,69536.79936620669,64932.71450247853,72724.234
2778,55257.0,62628.65908735091,67792.804414696,57616.86094982373,67055.05
2779,42124.0,57002.142614053904,41908.464798876186,37096.27666512415,42563.812
2780,39446.0,52141.39076721449,35504.28423767014,31956.723576956894,43014.824
2781,56868.0,50532.033718291685,66953.91489947563,60034.352679153795,64916.457
2782,59935.0,56217.26275014954,67698.78354063536,59424.14853143308,72016.0
2783,87685.0,57210.44864406864,70042.13095917362,62115.67260814868,73064.5
2784,64834.0,64838.861615701826,68884.74580420481,64725.48149500878,71495.3
2785,63829.0,59649.844792509466,65902.63984044138,57412.09273915769,67126.83
2786,41119.0,59582.37767156281,41666.109811939685,37380.68026037272,40913.32
2787,19978.0,51856.2836231088,35248.40478911999,32583.052869677056,38154.625
2788,67583.0,40577.44330582941,60820.852401876946,61320.77923864178,60995.477
2789,61774.0,58249.95809611937,63510.07096279542,60570.69159249075,71885.28
2790,54873.0,56981.67293454082,66665.83748393401,62742.67825271526,71249.39
2791,59580.0,55053.43780789686,62047.18434328655,65215.738704732415,69876.44
2792,70936.0,56525.669674281125,59405.20875762784,57634.07015103894,64540.0
2793,41929.0,59945.786212293606,38608.22008598303,37220.2942987518,39714.63
2794,42033.0,50998.52098892988,33056.18209179192,32274.899137422417,36512.65
2795,47790.0,50570.83771823454,63522.33844183439,60929.25393945038,66279.18
2796,64886.0,52253.06595910137,63250.734343096934,60358.12588139949,67824.48
2797,84539.0,57428.314614418974,66699.26262766113,63097.81607199545,69918.7
2798,64898.0,62908.11721696215,65711.41249824232,65688.16848960669,69862.66
2799,45980.0,58568.52173380454,63311.190405772475,58169.32259304494,64285.867
2800,30908.0,52657.86293816391,38560.10649051874,37734.41826086762,38554.8
2801,42229.0,46023.21073541967,31671.367119486124,32958.92387663845,33044.402
2802,73762.0,49962.53852712581,61077.97519153099,63235.346005461375,58511.645
2803,70962.0,59354.626375994085,64744.839148925064,60585.41974237662,71440.46
2804,78967.0,59219.451745414015,69054.3896677143,60591.61693303677,72946.57
2805,81402.0,61825.123473745814,67110.98485638863,63646.96737807421,71767.375
2806,74657.0,63159.45976526919,66335.14509929417,63873.44881044777,67247.3
2807,39352.0,62151.211330420505,42814.21965456139,45919.867311894195,42571.824
2808,39218.0,50955.25278731806,35909.370149586095,32831.84667121864,40719.363
2809,57221.0,50282.997041168586,67510.53641254269,59278.30911555906,70347.836
2810,66967.0,56169.029528573694,68241.74347215121,61281.25146870601,73271.59
2811,75057.0,59152.325065843324,71652.51116393888,70065.12197798451,74381.38
2812,69028.0,61734.069107017174,68828.01403497373,64741.108610699615,73880.32
2813,85092.0,60634.09610422608,66319.99623111628,64003.54097947644,69191.664
2814,40563.0,65282.664268759276,43497.78254082263,45667.8976488408,42157.53
2815,50124.0,51999.87327645652,36586.756011467915,35207.88305336722,37969.688
2816,81514.0,55042.63500276237,70813.15800709336,62191.95827594745,68997.086
2817,70893.0,64134.316572191485,74618.46099125003,62424.0148798593,75663.95
2818,77789.0,61994.92654158466,78112.42081123184,69343.64620273405,76137.74
2819,71438.0,64288.25196512103,74516.47472864026,66563.05037108768,74920.41
2820,77883.0,63101.33715491295,71412.04381275082,66247.90501085208,69447.12
2821,32568.0,65270.7782952555,45811.53470094609,47037.51143230556,44004.01
2822,46656.0,49637.85373383488,37199.81577598837,35102.15729871684,41046.55
2823,83120.0,54667.50289144635,71053.26908746311,62764.309947388865,69179.11
2824,93525.0,65398.70171237999,74966.71753289571,63666.05628937061,76788.6
2825,93539.0,68714.49612888086,81356.02705494573,71366.4368264386,79222.4
2826,79722.0,69727.71181510549,79160.28385327784,67380.32157590611,78083.25
2827,113039.0,67129.54777640698,76426.35724052653,67226.49487368125,73459.45
2828,48293.0,75804.65174706173,50991.78538025736,47831.29462008377,47329.9
2829,29929.0,58619.75552499954,43111.873445049954,36214.81592741886,43337.56
2830,65622.0,49718.18894987214,76270.19586048834,64742.14157604901,74031.35
2831,100339.0,62637.72429227807,77112.42209138555,76392.96992865982,77959.13
2832,66278.0,72025.83865416909,84045.16414357944,75297.97789340094,80373.7
2833,80658.0,63959.74695368429,77832.44663795197,73296.69265798214,79185.07
2834,77188.0,68271.9271726816,75375.1372413121,63678.07025854923,74871.85
2835,59969.0,67836.40200954539,47870.427738961414,44749.57511961059,46450.895
2836,47227.0,62891.53208541738,41874.584524609716,39919.52366177881,48553.445
2837,81194.0,58078.13380255892,79101.22074064771,67734.88388286595,78822.06
2838,102854.0,68547.03784288028,82100.13090012525,77898.21377803244,79752.06
2839,78799.0,74595.80045593738,88972.74323319946,77665.40142740002,82834.15
2840,89163.0,69471.7932698623,83703.84042859545,75024.35581942923,80328.52
2841,91424.0,72743.46849728357,81392.91393472847,64960.0386821895,75091.695
2842,66038.0,74049.76777829652,52353.29831410772,46066.54488689126,48532.13
2843,49034.0,67300.92969504405,45857.029076507184,40624.43403034682,52417.312
2844,101919.0,61047.912282074176,86007.07615302426,69185.1919038659,73046.055
2845,101023.0,76587.82915104387,91001.05203344418,79729.39859391145,82743.59
2846,61693.0,77418.61070590235,97074.2621745319,79997.20087856597,85208.336
2847,100185.0,66819.4530846399,87401.32125007836,77112.68367846326,83098.125
2848,102331.0,77886.13990577956,85693.71034674326,67683.17499560652,78708.586
2849,56154.0,79377.29409129138,55604.966060170584,47981.22500415051,52308.3
2850,61339.0,66146.44663018367,47302.58489702807,42533.849854794586,57776.715
2851,55909.0,67535.14451957121,90924.57047857333,72191.2151306828,78052.95
2852,80797.0,65237.50205855886,88403.13312142748,82742.28435754021,81027.67
2853,81399.0,72960.8166367425,91483.22982039137,83250.10533819038,82765.94
2854,119935.0,73490.9084417682,86148.2194369686,80347.55035387106,81341.81
2855,77181.0,83724.7511068516,86744.34848476454,70643.99412509693,77445.91
2856,66544.0,73838.39637306806,54211.79361206896,49885.96724242204,48529.01
2857,56857.0,70524.88285955606,47247.88196430316,44194.75637455317,48422.25
2858,114349.0,66835.6385222214,89858.30269995354,75548.50718747677,69453.57
2859,81767.0,83145.14993067611,96066.08597758067,86643.8845735408,84174.66
2860,68493.0,75741.18056365677,98889.87641678973,87491.07939903377,85005.55
2861,74048.0,71785.98173013293,90191.17642919195,84500.18351436916,81173.56
2862,97864.0,73454.47860550125,84611.51575014794,72786.7442433664,76192.336
2863,66722.0,80414.69787883398,54610.7295615983,51738.277752331334,50046.93
2864,54561.0,71719.07721915717,47648.47002815821,49172.50836044385,52058.824
2865,107184.0,66970.96178428049,90031.60288199538,85330.58471775793,77797.16
2866,63846.0,82478.76313556363,95312.17758815865,74316.18084758802,85999.97
2867,85609.0,70662.1419177996,94954.92395159969,92747.62187623094,85426.68
2868,117071.0,77294.74823558195,89596.30065201723,87966.8456024967,84800.7
2869,77221.0,85919.95190845545,89496.5264335667,78928.83858684261,81703.77
2870,69291.0,76248.91645937224,55711.06420530496,52978.042519078794,56139.613
2871,66191.0,73675.80519243618,48652.39586705892,48322.24242575452,51810.055
2872,75391.0,72384.12018260117,94037.12318732908,84264.37650512095,72360.16
2873,95529.0,75164.33438291175,94472.52853528874,77192.73876986447,84475.82
2874,113530.0,81134.30827305354,99232.86027756713,93743.93405400107,86773.836
2875,101767.0,86453.3567415249,96818.7144778251,87946.34787852554,85388.26
2876,116955.0,84554.02775129117,93994.18488570816,78263.19632902934,81884.98
2877,44302.0,89235.23727113764,61373.71268595413,52929.864230561994,53163.703
2878,63447.0,66091.33707284757,50029.60718142821,49067.15814365234,44216.527
2879,98543.0,72795.60838957143,95448.3428643532,84403.14537780805,82607.016
2880,115876.0,83339.74760049098,99151.9410395183,76641.76955197079,88369.375
2881,106682.0,88514.81100656348,106246.74293974729,93107.59867091573,88504.74
2882,88425.0,87310.56055889343,101988.75578628131,87921.17237688036,88505.55
2883,94682.0,82974.5215248048,96574.49511498743,78169.2586150554,83148.81
2884,45916.0,85085.2002469697,60991.32271420718,52829.83551025453,54489.336
2885,52473.0,67721.07685848417,50019.13255542996,48615.63730521448,58356.062
2886,90773.0,69384.62524065646,93080.45673395313,84238.61416024884,88597.0
2887,98001.0,81708.63798523188,95921.04933871317,76543.63646312631,87994.87
2888,110745.0,84171.6778881306,100965.48678993866,93145.2991496556,88556.45
2889,113814.0,88195.18944628593,97916.85539221585,87490.57304450094,87155.29
2890,95620.0,89954.31512542692,96354.10405711053,77931.41594183508,84433.94
2891,57176.0,85997.00480953722,61004.02146582949,52634.94379132114,56112.246
2892,36367.0,73210.86523642525,51495.030898590114,48299.7544736892,64422.555
2893,92818.0,62478.96576426412,91154.42985807384,83807.23552548637,85354.03
2894,102958.0,82443.24767884762,94292.09897055366,80573.34772112423,87424.734
2895,86994.0,85727.37137585907,100147.1011619402,79672.91439592792,89116.0
2896,98519.0,81900.95235412089,94289.911957645,82260.70406374104,87324.266
2897,68747.0,85499.27496020163,91383.75669639446,77794.5312409186,84087.84
2898,47226.0,76644.14505420568,55794.043176517625,51640.769239569425,55256.348
2899,46942.0,67544.81547040577,46384.751774718054,45444.21539586547,59539.266
2900,117215.0,66263.07201220993,86027.36355287473,78011.46941228017,87486.086
2901,69254.0,87599.27494880666,92583.50439353971,75247.26324670683,89339.64
2902,86597.0,74958.59378186899,93733.78701974859,79671.87232118871,88706.125
2903,88213.0,80251.13486338881,88820.15603039412,77754.58641871126,86075.93
2904,90829.0,81021.1367587059,85478.3417123935,72257.95066484308,81744.02
2905,52291.0,82116.71932711011,54557.64985968878,48820.0147702264,56317.4
2906,34665.0,69072.80267401079,46189.04372532088,45245.13278503902,61090.28
2907,106864.0,59681.26609514503,82534.72960832766,78724.0754967175,78233.37
2908,98651.0,83614.06113554139,87956.82196563437,75721.63077113504,86897.91
2909,69952.0,82445.58150231431,93856.82077392528,76360.96964883181,87907.836
2910,90188.0,74447.12504473967,86731.87781218653,78291.88418330548,86292.63
2911,91924.0,80543.25137810333,83858.37138088113,72990.0512111265,82781.85
2912,44995.0,81472.29753929982,53742.66760212006,49384.9311975346,57679.957
2913,36913.0,65140.30676286322,44699.63677481765,44725.2028289894,50521.844
2914,108333.0,60032.02602262908,80917.05199211977,77928.74888900532,80859.62
2915,90050.0,82941.73618128458,86597.08196575711,75456.16406584565,86279.23
2916,91006.0,79158.90200054705,91450.82050844848,78293.54773959029,88574.055
2917,69620.0,79912.52428703665,87718.89277832508,77977.49152760372,86922.04
2918,83893.0,73780.69251160188,82093.25811147653,72340.99896274145,82068.62
2919,38904.0,78115.655443354,52016.473411855484,48643.3503831871,56979.562
2920,59363.0,61264.37374055852,42627.00375927607,44583.2999610736,57802.758
2921,75627.0,68666.05631832151,82505.53373873165,77511.77074065954,74951.555
2922,76750.0,73702.58674247387,84379.76447352115,74373.75392608014,85075.4
2923,50993.0,74141.86551104039,87384.24549471294,70997.73771537637,85224.766
2924,70928.0,65140.03901399379,78208.0146740447,72007.9884858546,70198.414
2925,61714.0,71576.36428903685,74225.63060543769,71386.13583325745,62893.21
