Forecast_Origin_Index,Target_Date,Unconstrained_Groundtruth,ARIMA,SARIMA,SD-SVR,Tsformer
0,2024-03-14,66013.99999999997,52395.46191196241,60250.773872653896,85042.45378248549,62200.332
0,2024-03-15,66848.00000000001,49430.34364649037,57938.904272276086,76241.30699052759,46770.656
0,2024-03-16,38474.99999999998,48635.08993423723,36819.184714881245,44957.68311286283,36481.957
0,2024-03-17,31727.000000000007,48415.965465635534,31098.132112653,34490.39447574544,33917.633
0,2024-03-18,58091.999999999985,48355.13390179718,57908.50427201579,62229.40235784425,43792.54
0,2024-03-19,55462.00000000002,48338.211112880796,59876.138322934305,64102.11438095276,53637.85
0,2024-03-20,52918.99999999999,48333.50061563729,62994.864879300796,67325.40879559831,61278.29
0,2024-03-21,51025.999999999985,48332.18922618161,60278.3584969017,66379.6843815785,63648.926
0,2024-03-22,81921.99999999994,48331.82412255921,57956.31442669648,62021.96044319185,47262.766
0,2024-03-23,43009.99999999998,48331.722472875554,36830.28445894096,39735.115671090905,38086.51
0,2024-03-24,25839.00000000001,48331.694172158845,31107.507012239217,33443.233232576866,35208.473
0,2024-03-25,55774.000000000015,48331.686292829436,57925.9612175161,61398.18056213453,45073.98
0,2024-03-26,53554.999999999956,48331.68409910943,59894.18841596763,61615.25114152624,54585.832
0,2024-03-27,71349.00000000003,48331.68348834575,63013.855119209395,66168.04175213627,63890.242
0,2024-03-28,52211.00000000003,48331.6833183002,60296.529840077725,64702.04458066532,60697.816
0,2024-03-29,58759.99999999999,48331.683270957095,57973.7857846583,62069.522168022835,48830.746
0,2024-03-30,46031.999999999985,48331.683257776036,36841.387329412806,40243.428076685166,38385.895
0,2024-03-31,28572.000000000025,48331.68325410629,31116.884739054978,34393.74099302655,37103.62
0,2024-04-01,53561.99999999997,48331.6832530846,57943.42342543727,63464.289534159216,46636.145
0,2024-04-02,61620.00000000002,48331.68325280016,59912.24395024069,65534.5576302354,54956.645
0,2024-04-03,91515.00000000006,48331.683252721,63032.85108376694,67788.7163656765,60490.01
0,2024-04-04,49150.00000000001,48331.68325269894,60314.70666104451,66024.49246604,66854.87
0,2024-04-05,29300.000000000007,48331.683252692754,57991.26240939882,62850.54296427001,51013.184
0,2024-04-06,34501.00000000001,48331.68325269104,36852.49354686901,39895.41925446869,39189.926
0,2024-04-07,40718.00000000003,48331.68325269052,31126.2652928068,34537.68032116941,36145.266
0,2024-04-08,75709.00000000001,48331.68325269035,57960.89089737885,63172.74349971728,47576.484
0,2024-04-09,64341.99999999998,48331.68325269035,59930.30492739368,66713.19161623553,56417.41
0,2024-04-10,78988.00000000004,48331.68325269035,63051.852774699146,68588.3018082035,62900.543
0,2024-04-11,63576.00000000006,48331.68325269035,60332.88896145335,65751.8585043174,66533.66
0,2024-04-12,56399.000000000044,48331.68325269035,58008.74430250572,62979.44964205483,53762.402
1,2024-03-15,66848.00000000001,53306.86844869565,58655.629320151435,75706.68842771424,48349.414
1,2024-03-16,38474.99999999998,50223.52492327289,37291.534520923844,44338.41684273227,35965.84
1,2024-03-17,31727.000000000007,49396.49759685975,31497.424100968878,34289.37700549328,35328.855
1,2024-03-18,58091.999999999985,49168.46053452264,58652.75220576353,62506.41699642653,42833.46
1,2024-03-19,55462.00000000002,49105.09972711701,60643.80424090378,64189.15034842196,54987.734
1,2024-03-20,52918.99999999999,49087.45710953306,63804.8290969501,67041.60305797271,63194.023
1,2024-03-21,51025.999999999985,49082.541655718036,61068.38395737055,66030.11301772858,59534.3
1,2024-03-22,81921.99999999994,49081.17192186017,58704.5442068917,61558.41020052689,48782.57
1,2024-03-23,43009.99999999998,49080.79021600785,37304.017924561915,38807.61721412748,36128.0
1,2024-03-24,25839.00000000001,49080.68384407872,31508.067608491154,33122.75915942092,35810.383
1,2024-03-25,55774.000000000015,49080.65420076097,58672.57048638162,61169.99454977176,43047.887
1,2024-03-26,53554.999999999956,49080.64593986756,60664.29527780036,61942.65028219757,57959.824
1,2024-03-27,71349.00000000003,49080.64363775078,63826.38820018233,65860.6265474952,63168.234
1,2024-03-28,52211.00000000003,49080.64299620495,61089.018453806486,63956.05239077295,61749.777
1,2024-03-29,58759.99999999999,49080.64281742116,58724.37999471536,61620.753777366655,47659.273
1,2024-03-30,46031.999999999985,49080.64276759834,37316.622771860595,40323.49071391953,36864.164
1,2024-03-31,28572.000000000025,49080.642753713895,31518.714084697967,34260.482396811494,37602.81
1,2024-04-01,53561.99999999997,49080.64274984464,58692.395470729425,63522.27737918136,45405.2
1,2024-04-02,61620.00000000002,49080.642748766404,60684.793238285354,65912.61499109273,59099.39
1,2024-04-03,91515.00000000006,49080.64274846588,63847.954587936474,67543.33030204914,63756.09
1,2024-04-04,49150.00000000001,49080.642748382175,61109.659922351995,65270.10727472613,59422.555
