Date,Unconstrained_Groundtruth,ARIMA,SARIMA,SD-SVR,Tsformer
2630,66014.0,54995.399477262035,61566.91296225387,90830.06593360973,74154.51
2631,66848.0,56406.338890255895,61002.68569972322,86127.42486814118,63964.258
2632,38475.0,57603.70094364817,39823.294243432734,49815.5758723982,44401.785
2633,31727.0,46083.947371215516,33143.55522449974,36064.76200577722,37887.08
2634,58092.0,41654.29499247908,60923.6985289663,60788.355311082516,67227.484
2635,55462.0,52614.18812143488,62105.539423466114,62072.3373198926,77017.47
2636,52919.0,52082.7736226318,62816.03284247315,65676.36334042512,79215.484
2637,51026.0,51359.366273298365,57121.44192286135,65516.43297324864,78598.79
2638,81922.0,50710.29638173118,53636.696645333046,62631.97588461525,66100.93
2639,43010.0,62204.78205062542,38838.076742961624,38668.399078650895,44877.957
2640,25839.0,48449.64940699689,33568.68085785608,30543.1285767649,38299.12
2641,55774.0,38454.044680136765,57618.52979927652,53130.62484585492,67618.17
2642,53555.0,51475.20207887144,59150.79756590054,54485.62085918978,76940.97
2643,71349.0,50987.634262425476,60058.6715679109,55349.78829616161,78768.98
2644,52211.0,57953.135644967166,60670.2682496582,56296.454066735045,78867.0
2645,58760.0,51729.79248508574,56174.06805157884,54005.88708810789,66316.44
2646,46032.0,54472.022100816626,36216.84422523415,34655.85221678804,44517.367
2647,28572.0,49419.80748804043,32767.01170421052,26334.161478822047,37911.293
2648,53562.0,39983.5714511378,58368.03140488231,46857.0077959751,67055.43
2649,61620.0,50663.11730225159,58846.796480558085,49753.50190205542,76157.35
2650,91515.0,54099.47844159637,62544.782568959745,56077.24038452165,77949.05
2651,49150.0,64946.48745263327,67169.82091524213,54058.23332044813,78025.95
2652,29300.0,51442.87182067491,59069.02278349943,52276.44424292775,65798.91
2653,34501.0,41016.14188473277,30367.426942511953,34142.28393741826,43628.375
2654,40718.0,42557.59855454621,26797.1078050078,31021.063021360922,36300.547
2655,75709.0,44761.261750488055,56686.32269995465,57606.17462960599,65646.72
2656,64342.0,57874.97350777299,63656.32398541277,59204.77694280452,75311.66
2657,78988.0,55418.70006773368,66607.00993802247,65887.15237985144,78014.27
2658,63576.0,61421.68778621001,67016.63480240632,65274.87732312765,79703.95
2659,56399.0,57353.84978437003,63828.85365490011,61103.49183500466,68398.94
2660,39992.0,55030.856491807484,39119.14943043429,38183.70879302106,48163.76
2661,36497.0,47587.95605291516,33198.35599799424,33594.359974270206,41060.867
2662,75227.0,44974.8338310628,63651.26768022884,62564.2226979911,70044.91
2663,54928.0,60118.27501362423,69126.53149162444,63968.92492813378,78942.17
2664,76263.0,53694.65627506852,67344.3873102455,70425.8863559258,80458.43
2665,47298.0,61955.79612467942,67019.01974637131,66875.29397039133,82352.336
2666,55272.0,51511.53835128834,58335.62864724967,62671.62915356524,71362.09
2667,43105.0,54612.351062452646,36710.256690650815,37792.40154527861,49121.363
2668,36481.0,49145.46303034481,32476.870295073026,32839.511870737275,41873.055
2669,68462.0,45161.844105093056,62560.55422638424,58664.706539281484,74041.445
2670,73216.0,57933.821578377836,66265.86659820435,58879.08685861454,82097.164
2671,52886.0,60615.22493602808,71576.33411044146,63369.045656233895,82358.85
2672,67500.0,53709.44699096443,62096.662846758634,60366.15401202224,82475.18
2673,42544.0,59542.362238818656,62125.78674302741,57435.61092697388,72696.01
2674,42969.0,49459.280189790115,35189.905133086606,35176.133063911715,50211.27
2675,41478.0,48939.88550935815,31650.566559400195,30741.584581652398,41915.367
2676,60816.0,47591.3393409432,63884.58249440031,56380.2916552324,72879.9
2677,52079.0,55324.26453853223,64695.486379442686,57532.41088891132,81140.695
2678,88519.0,52249.49465995057,63490.25689748801,64401.208970165884,81402.28
2679,71607.0,65565.04442201552,67275.50482850234,61877.543427411605,82570.65
2680,51275.0,61662.59583882584,66166.86124114471,60081.22481832058,72379.8
2681,45096.0,54226.99050748937,38991.76615585368,38129.14884350014,50395.92
2682,36690.0,51040.927384051094,34437.93124896003,31240.4562106532,42461.996
2683,64624.0,46153.03230201206,65241.58769101565,57761.15865261054,72636.484
2684,78157.0,57520.751062733805,67067.384564515,61445.14101999717,81691.35
2685,61415.0,63123.71968541717,73737.19826837277,62510.184625207505,83482.086
2686,50918.0,58131.68245558996,66351.5451670149,57594.69573353198,84619.92
2687,55687.0,53933.978018279064,59395.834057984175,56743.41723113999,73419.99
2688,38642.0,55728.44338036393,37394.563965730056,36026.96042863882,49962.83
2689,50340.0,47646.42888096268,31809.528731652637,30444.878240482907,41520.53
2690,58974.0,52280.425250007494,68086.6129593686,56718.46020702694,73149.03
2691,68384.0,55742.66572984885,66881.55728952304,59254.475116181,81926.82
2692,75447.0,59723.02114719661,70650.72663288398,62036.23537918153,84237.055
2693,47581.0,63127.87366810741,68648.04765466147,58253.2548632302,85692.48
2694,71577.0,52722.31691970196,59280.119952971945,57598.107375537984,74629.64
2695,40081.0,62172.3690953719,40479.892164180485,36905.51286790869,51562.227
2696,29533.0,49178.928029348346,33898.35595645105,31255.24128309661,42482.695
2697,66603.0,42282.08215921134,60395.15207564558,58671.99450958039,72888.8
2698,56325.0,57830.12381233047,64463.70650250506,61675.0619313284,82709.04
2699,48060.0,54579.33875425836,64721.52797752673,65257.00698303903,83858.32
2700,55207.0,51155.48451569048,56360.95824591057,61283.88240009433,82953.375
2701,84909.0,53949.38819679227,54531.291128346274,59822.96570522724,71458.734
2702,38946.0,65003.470842265204,39896.544866806646,37530.59597468858,48852.08
2703,37774.0,47822.47163710549,33127.89067320459,31696.633333835456,40728.113
2704,80823.0,46258.25190341174,64166.36190339526,58674.40310866686,71190.055
2705,49154.0,62749.123050428185,70915.9040743413,62019.03357288029,81079.195
2706,75287.0,52027.32560493166,66238.63324755966,64717.51338927919,83196.76
2707,77058.0,62051.31656140148,65981.93908846547,60294.91495822591,83665.88
2708,85106.0,63872.792261694514,67076.21901488643,59065.903200902976,72717.65
2709,46804.0,67881.848982871,45857.0780472894,36919.06600880675,51603.35
2710,45735.0,53776.27689767326,38741.30072717313,31626.833377449555,43589.242
2711,67855.0,52527.044617311876,75819.04273270405,58773.52267148203,75361.805
2712,80766.0,61313.31355299797,75359.88481307952,61400.32680628511,85522.9
2713,73079.0,66702.10657584415,80878.29142009435,62601.10721028751,87863.45
2714,70581.0,65128.15945174751,74657.39413078029,62268.86377043739,88500.07
2715,87880.0,64898.73689205029,71428.16108828965,63187.5201857221,77187.55
2716,45891.0,71854.29877261337,48523.3149925142,38313.2411773211,54683.11
2717,22483.0,55548.16739702709,40091.479863105626,32375.00047597016,47022.863
2718,48059.0,40177.186208367064,62598.455337265055,60495.71998274567,79628.89
2719,68296.0,52520.359488935006,60067.72105977656,63797.43563711562,89007.0
2720,81542.0,60488.32445759329,65813.26143197189,64919.2991485894,90872.695
2721,85741.0,66022.89941782906,66842.77736156617,64333.644771525614,91175.305
2722,72004.0,68864.8743162282,69870.45772214203,65171.344714390405,77933.29
2723,27057.0,65299.655472639584,44716.57985452592,39474.35047943946,53105.035
2724,41080.0,43414.50958967079,32263.84897029079,33438.922585351596,44829.45
2725,46984.0,49542.4216201541,65195.26088783256,62153.73586606534,77798.29
2726,75235.0,51515.120702337124,60666.373787948294,65434.97372677217,88098.9
2727,68928.0,62417.31955884004,68289.12927185693,66583.6040050248,90130.945
2728,61866.0,61233.83796233028,65075.61494791049,65782.81618089108,88749.74
2729,59820.0,59151.12771239057,62281.170530434385,66536.73080935689,74364.914
2730,45147.0,58563.60815423172,39157.146715038485,40226.343835054235,49971.98
2731,36645.0,52043.21232069577,34492.040873987426,33967.64250763815,41935.96
2732,65215.0,46949.78197928256,65148.76743664309,62990.93841061484,72845.64
2733,66841.0,58616.8262487411,67252.14518831563,66020.13715849623,83396.625
2734,73814.0,59855.628160707434,70400.5671201322,67132.09152073548,85930.54
2735,61592.0,63121.2409733181,68080.87412546703,65846.08933169632,85786.016
2736,64486.0,59324.61858919106,64143.78317837688,66233.10960143805,72155.05
2737,44520.0,60720.07248824221,40942.7158026138,40023.67795856739,48570.742
2738,46332.0,52143.931179566214,35401.47373655643,33787.58502698992,41522.156
2739,53372.0,52228.60268054008,71293.05890794832,61735.01392306427,73278.69
2740,70189.0,54836.29710984892,67172.59061996915,63641.46760404283,83783.34
2741,59594.0,61474.58358478566,71715.82271924471,67437.59560661923,86616.16
2742,80487.0,58071.808321399796,64572.01051782543,63132.68806565972,86130.32
2743,53229.0,66186.46837074067,67291.1708080478,58502.44631175544,74310.9
2744,27148.0,56545.45158069712,39769.43354693419,36186.874488933034,50843.58
2745,29868.0,42171.050549511754,29980.960817623625,32854.361104649266,41255.285
2746,55690.0,42066.3981159317,55914.653103781675,58895.651761354246,73212.61
2747,64932.0,53109.628021161465,57735.99371927626,61110.09311955476,82360.82
