Target_LF,Realized_LF_KG,Realized_LF_CBM,Model,WAPE_KG,WAPE_CBM,Total_Censorship_Pct
50,44.44570847892148,46.65229788657874,Naive,0.15520685903478118,0.1869295468066291,0.8826662211129791
50,44.44570847892148,46.65229788657874,EM,0.16653331188331968,0.16615313812316515,0.8826662211129791
50,44.44570847892148,46.65229788657874,EMXPrice,0.1640454349082984,0.1641683455305364,0.8826662211129791
50,44.44570847892148,46.65229788657874,PD05,0.13861314310382153,0.1395335415768169,0.8826662211129791
50,44.44570847892148,46.65229788657874,PDXPrice05,0.13737825985185606,0.13860859916815982,0.8826662211129791
50,44.44570847892148,46.65229788657874,PD07,0.10942646007556218,0.1122071994729203,0.8826662211129791
50,44.44570847892148,46.65229788657874,PDXPrice07,0.1090667126557944,0.11206083340154112,0.8826662211129791
50,44.44570847892148,46.65229788657874,PD09,0.09503194322729579,0.09945748306563168,0.8826662211129791
50,44.44570847892148,46.65229788657874,PDXPrice09,0.09499755886973955,0.0994721545343296,0.8826662211129791
60,51.40580319662564,53.89845534782387,Naive,0.7434389253506972,0.8888874632938585,3.697826417388661
60,51.40580319662564,53.89845534782387,EM,0.7102724037463043,0.6966211509668554,3.697826417388661
60,51.40580319662564,53.89845534782387,EMXPrice,0.6919250849020685,0.6808866175385114,3.697826417388661
60,51.40580319662564,53.89845534782387,PD05,0.5749012972100889,0.5700230837754677,3.697826417388661
60,51.40580319662564,53.89845534782387,PDXPrice05,0.5637637090584111,0.5611216474958974,3.697826417388661
60,51.40580319662564,53.89845534782387,PD07,0.44005213165746027,0.4512725418887167,3.697826417388661
60,51.40580319662564,53.89845534782387,PDXPrice07,0.4363778989736392,0.44869893480799117,3.697826417388661
60,51.40580319662564,53.89845534782387,PD09,0.3990579849991138,0.42275338854746236,3.697826417388661
60,51.40580319662564,53.89845534782387,PDXPrice09,0.3986955861988083,0.42264406161737594,3.697826417388661
70,57.61971784655151,60.27319069125839,Naive,2.012840895194875,2.382505650110814,8.740006461857854
70,57.61971784655151,60.27319069125839,EM,1.7838859163364278,1.729361999553418,8.740006461857854
70,57.61971784655151,60.27319069125839,EMXPrice,1.7275880876758989,1.6808206127889052,8.740006461857854
70,57.61971784655151,60.27319069125839,PD05,1.444010046259315,1.4202438564523558,8.740006461857854
70,57.61971784655151,60.27319069125839,PDXPrice05,1.4093460004659746,1.3924563603502607,8.740006461857854
70,57.61971784655151,60.27319069125839,PD07,1.1343592692751976,1.170685621804459,8.740006461857854
70,57.61971784655151,60.27319069125839,PDXPrice07,1.124428430087376,1.1652196400310526,8.740006461857854
70,57.61971784655151,60.27319069125839,PD09,1.1042144829449965,1.1844142782109957,8.740006461857854
70,57.61971784655151,60.27319069125839,PDXPrice09,1.1039480951409555,1.1849207900814063,8.740006461857854
80,62.732010594087264,65.42814922480619,Naive,3.69927024594724,4.339743128919419,14.748062015503876
80,62.732010594087264,65.42814922480619,EM,3.2224895485481726,3.0874619939781165,14.748062015503876
80,62.732010594087264,65.42814922480619,EMXPrice,3.1122662078193075,2.9929576010758114,14.748062015503876
80,62.732010594087264,65.42814922480619,PD05,2.605286899444402,2.5446441651372798,14.748062015503876
80,62.732010594087264,65.42814922480619,PDXPrice05,2.5396121313228104,2.493057329610242,14.748062015503876
80,62.732010594087264,65.42814922480619,PD07,2.097975104983792,2.1764826118499867,14.748062015503876
80,62.732010594087264,65.42814922480619,PDXPrice07,2.080733400472197,2.1674126184764635,14.748062015503876
80,62.732010594087264,65.42814922480619,PD09,2.1388628909592415,2.3132551538594415,14.748062015503876
80,62.732010594087264,65.42814922480619,PDXPrice09,2.1386801762503285,2.314659498927029,14.748062015503876
90,66.96669545244347,69.56370334080273,Naive,6.217935508377146,7.221586441476792,22.083791427828086
90,66.96669545244347,69.56370334080273,EM,5.138623926079908,4.8756808969739796,22.083791427828086
90,66.96669545244347,69.56370334080273,EMXPrice,4.93634320514406,4.702017172769652,22.083791427828086
90,66.96669545244347,69.56370334080273,PD05,4.192336068577951,4.094601890758274,22.083791427828086
90,66.96669545244347,69.56370334080273,PDXPrice05,4.0694726765549,3.996529874652561,22.083791427828086
90,66.96669545244347,69.56370334080273,PD07,3.5947305419262423,3.790135571463074,22.083791427828086
90,66.96669545244347,69.56370334080273,PDXPrice07,3.568284690346504,3.7783538593562342,22.083791427828086
90,66.96669545244347,69.56370334080273,PD09,3.876975774789032,4.244294184591914,22.083791427828086
90,66.96669545244347,69.56370334080273,PDXPrice09,3.8779202276247524,4.248119878271934,22.083791427828086
95,67.80317847323873,70.3350279867761,Naive,7.158325776309312,8.277031069827016,23.91073871409029
95,67.80317847323873,70.3350279867761,EM,5.687524669757115,5.4066770243564894,23.91073871409029
95,67.80317847323873,70.3350279867761,EMXPrice,5.457734481733508,5.212235326158568,23.91073871409029
95,67.80317847323873,70.3350279867761,PD05,4.722318933204527,4.633947782051577,23.91073871409029
95,67.80317847323873,70.3350279867761,PDXPrice05,4.586080804751755,4.528898540294749,23.91073871409029
95,67.80317847323873,70.3350279867761,PD07,4.1880180882406695,4.433435337021095,23.91073871409029
95,67.80317847323873,70.3350279867761,PDXPrice07,4.163851787311104,4.426618038443663,23.91073871409029
95,67.80317847323873,70.3350279867761,PD09,4.577059066393204,5.014552177440934,23.91073871409029
95,67.80317847323873,70.3350279867761,PDXPrice09,4.579722412324952,5.020291597116088,23.91073871409029
